Sentiment,Tweet
1,I LOVE @Health1UandPets u guys r the best!! 
1,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!
1,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. "
1,"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup"
1,@LovesBrooklyn2 he has that effect on everyone 
1,@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!
1,@r_keith_hill Thans for your response. Ihad already find this answer 
1,"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! "
1,"@tommcfly ah, congrats mr fletcher for finally joining twitter "
1,@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors 
1,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! 
1,@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! 
1,"@nileyjileyluver Haha, don't worry! You'll get the hang of it! "
1,"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting "
1,@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?
1,Just added tweetie to my new iPhone 
1,@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! )
1,@nicolerichie: your picture is very sweet 
1,"Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw "
1,"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! "
1,Didn't place in the Peeps contest but thanks for voting anyways. 
1,Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0
1,@LittleLumen walking over to put the deposit down tomorrow 
1,"is now followinq @DAChesterFrench , you shud do tha same "
1,@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? 
1,Aw i'm holding my new puppy. Well He's not mine but He's a cutie. 
1,@iJohn kitteh is sleepin on my crotch which proves she likes me more 
1,@DramaBeats agreed 
1,reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ
1,@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star 
1,happy to spend time with the family. 
1,finally going to bed!  so tired. Was gonna watch The Hills but didnt =/
1,so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! 
1,@deon upload di indowebster dong banggggg 
1,@wisdomous you're welcome. glad you enjoyed it. 
1,@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?
1,@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up 
1,YAY! found a new cuddle buddy 
1,I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! 
1,Across the Universe. Sleep. Rehearsal tomorrow. 
1,"@annabellee dry sweet potato, huh? "
1,"@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!"
1,having a long conversation with mom on phone 
1,@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? 
1,Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  
1,Going to go and read new moon for the 3rd time  I cant get enough of twilight series 
1,today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!
1,I am bored 
1,@stevecla it is a wallpaper with Red Square I was asking for 
1,@r_keith_hill Thanks for your response. Ihad already find this answer 
1,@Pope_Mello Well yeah! I only noticed cuz i'm BB too. 
1,Just tryna get inspired thats all 
1,@KourtneyKardash Can't get up early enough!!!  Night workouts are much better. 
1,"@ladygaga Can't wait to see ur hot ass in Austin! woot woot!!! annnd love the bob with purple, i went the royal color way as well "
1,"@QuotableBuffy I got a bunch of Buffy songs too! One of my faves is &quot;Vivian&quot; by Nerf Herder, when Faith met Spike in Buffy's body. "
1,#Devunity Wallpaper  Check this out !   --&gt;    http://twitpic.com/2y2e2
1,"Morning Tweetland, a long day ahead! Hope everyone has a great day  "
1,   uploading pictures on friendster 
1,@ash_CT Aw dont you love that  I love for those days! Thanks about the pic ;-p
1,noodlebox with amanda tonight 
1,"@una_avion2010 Sorrry, I'm doing like 29823782 different things. Kevin Jonas' Girlfriend "
1,@fuzeb they are so serious too while singing like.. whoa  hehe lsd maybe? j/k lolol
1,loving life... and loving you 
1,@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] 
1,loves chocolate milk  and that is GF YEAH..
1,Going to Sutter Creek tomorrow to tour an old Mine 
1,"@bodycoach I'll look into that cho, I personally like strawberry but I'm going to become coach soon "
1,"@little__fish guess where i live. the other side of the earth  east mesa, losiento"
1,@paula_paige3489 so apart from the sore... how was the tryouts? 
1,failed physics TEST... what a homo. keeen for the holidays (2 days to go) 
1,"Just observed the update look of #Alexa website, http://tinyurl.com/c48gzf , looks great, seems Alexa is improving "
1,@leiabox so what can you tell us about it? I'm totally geeking out right now 
1,"@theragingocean BonJour Spacecowboy,I wish I was either of it .I work with Kids, can go out whenever I want and go wherever I want to "
1,@Rebecca1158 goodnight. 
1,My brother is sick too lol. Quite weird 
1,@drdrew *gives a hug and a cookie* Hope you feel better! 
1,@jonathanRKnight Hey Jon! It's real and I hope you take care of yourself...we don't want you to get too rundown.  ((Hugs))
1,"Just wrote on a toilet wall... but only to correct poor spelling. And in highlighter, so it will wash off. HARDCORE "
1,had a good tech meeting at clubZone - dinner was sushi 
1,@mattgalloway Thanks for the hook up with @CarlyRush and suggesting me again bro! you rock! 
1,@jeffswarens depends on which version they thought you  the one I know doesn't go like that ;)
1,@Speak2Ashley hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much 
1,@Honey3223 Lurkers now that was interesting 
1,@saravananp mine is B North. Still need to decide 'aaru hithavaru ninage ee moovaroLage' to vote 
1,@trstfndbby um I bought my shit from the Koreans its OACH  highest quality out there baby  I paid an extra 3.50 2 get a real tag sewed in
1,eating ice-cream with chocolate topping 
1,@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!
1,@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about 
1,@LaurUy West.  Mostly San Jose and San Francisco.
1,"Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her. "
1,@marymayblood I would love to come help unpack   Let me know where I need to be Sat afternoon!
1,shenagians!  my team is awesome&lt;3
1,listening to some music and just chilling....I'll probably regret not getting work done...but till then i'm just gonna kick back 
1,I am doing a study of Think &amp; Grow Rich - Wow - it's amazing how timeless the law of attraction is! So now we're on our 6 step program! 
1,@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! 
1,21 Days till chris comes home and 67 days till summer 
1,"@davidgideon Yeah, those were the days  - no, it's now around 1.47ish..."
1,@therealjspace am I the first one to tell you you tweet the most while drinking! LOL. 
1,@its_anne Kay thanks. 
1,Goodnight 
1,I am determined to get back into baseball -- it's been 5 years since I've really watched the sport. Anyone interested in going to a game? 
1,"@beycah Good for you Becca, have a good sleep. "
1,@MissNappyBoy and ur home is where? ohhh i nkow lexington ky rite next to me 
1,Just seen the preview for the movie &quot;Obsessed&quot; w/ Beyonce. Wow one crazy broad in that movie &amp; Beyonce seems to go nuts in it too! 
1,Easy Rider till I fall asleep 
1,"@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix. "
1,"just had a real good moment. i missssssssss him so much, "
1,@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home 
1,@jaredleto Just started to work. But it's the last one before holidayholiday!! 
1,Watchin Greek then off to Knighty Knight!! 
1,i am working on my media room design and i love love love my client profile 
1,@Greeks05 its pretty lame..hahaha but yay i get to stalk your sexy ass on here now 
1,"@Lou911 Aww, thanks "
1,Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!
1,thinking and planning 
1,"Good enough.. time to go sleep off whatever I can, be happier tomorrow ? here's Hopin.. go check my Fb. for what is in store for me now. "
1,"@missvic what do you mean, I do those things now and I'm OLD! "
1,@jimmyeatworld been listening to that all morning  http://www.deezer.com/track/885843
1,@UrbanThai  and you have me to thank for that 
1,"@PamFR Thanks Pam... glad you enjoyed it. Yes, life is short, it's *now*. No need to struggle... just make better choices every day. "
1,"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha"
1,"@guykawasaki congrats on 100,000 followers. Wow almost 4 times of what I have "
1,@LarryCarroll ARE WE GOING TO BE GETTING ANY NM UPDATES THIS TIME AROUND? I'm not really screaming. Just wondering. Thanks! 
1,@suitelifeofkell that's freakin' cooool   i love twitter .haha
1,@I3renda maybe. there's nothing wrong with being caring. but try not to care too much. 
1,why does Brissa not even know she has a twitter? -Lauren 
1,@jbrotherlove I thought it was a great love story 
1,"@enbaldarlingg No, that's just the mirror you're looking in. "
1,@amandahesser thanks!  i couldn't have done it without you  
1,"wow that was neat, thanks God! OVERITNOW&lt;3  i apologize for sharing my spiritual moment with the general public of Twitter "
1,... 31 days until I leave for Ontario!! 
1,Just spoke with my fam in #Japan via #Skype! Love to see my little 16-mo-old nephew growing! 
1,@LissyM ahh i only just saw you'd written that where does it tell you that someones spoken to you? this sucks but mcfly got it haha loser 
1,@KaciMaureen holy laundry woman! 
1,"@iamdiddy I hate it too, but I just got back from the trainer. Go! "
1,@markhoppus lol you�re so fucking funny 
1,"working on setting up my ipod touch, which as of today is officially mine!! "
1,@nikhilnarayanan saw the tvc yesterday.. worked for me 
1,Jon could totally say Mannies and Peddies and I would shut my fat face about it.  
1,"@magopus Hahaha! Well if they ever run out of ideas, I'm nominating you to come up with some good ones. "
1,A friend feels like a beer on a Monday night. That's never good. But beer is always good. Always. 
1,"@hopeinhell One usually follows the other, no? "
1,"@special72 Thanks, Special 72!  "
1,"Good luck for Lauren and the rest of the cast of TBS, can't wait for something to leak "
1,"Shoot For The Moon! Even if you miss, you'll land among the stars. "
1,"@JohnHays hmm, that I don't agree with entirely because I am most creative &amp; vibrant @ night for some reason...but I need 2 sleep too "
1,@izzakizza nada just tryna holla holla.   hows the mixtape coming up?
1,@aussie_ali  yep it makes it so much easier to get points across in 140 
1,"@snarkattack  The freezer-worthy @amoir has already given it her scholarly attention, but I suppose another set of eyes could hurt not."
1,http://twitpic.com/2y2jf - my cupcakes 
1,"@purrplexa And its a wonderful thing!  I'm all in favor of using the entire English language (shit, I use #expletives too, I think) "
1,@mynameisgerard haha! i'm not saying u should try it.. but maybe u should 
1,"back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!"
1,@sisterpatterson I just ate raw cookie dough out of a tub and now to bed. We must be kindred spirits 
1,"@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night"
1,@blooms5887 Just use Tweetdeck and you can update facebook and twitter at the same time 
1,"@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting."
1,@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  
1,amazing night with llama and malcolm and megan&lt;---fuck the theatre! 
1,@kayotae Just had a martini myself. 
1,city all day soo happy to be home. school in the morning 
1,My spring break= watching moviess all day everyday for a week 
1,@PushPlayNICK &quot;Grandpa wants an ice chest and some beef.&quot;  George Lopez rulesss!
1,@KatiePorrello thank you Katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! 
1,"http://www.youtube.com/watch?v=cLe9pJSRas0 Where have all the flowers gone, Peter Paul &amp; Mary  My fav, def."
1,shhhhhhhhhh....time to watch the Hills. 
1,"since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. "
1,@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  
1,@LonelyBob Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' 
1,Callin it a night! I always have the best sleep after a good workout!! 
1,@Infinitarchitek Feels pretty good doesn't it? 
1,@stee322 but you did go to hash bash anyway.. 
1,"@loltothepower correction, i GOT a badass fringe. "
1,"@procoder hmmm, sure sure  so what r u upto ? hows the day for u?"
1,@ninasplayground I agree.  My kids got &quot;Who am I&quot; 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV
1,My hair is blue. 
1,@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night 
1,stressing over this math test...uhhh....2 days till spring break!!!! 
1,"@MintCool uh, because we really need each other, plus, you'd be my designated driver on PCH "
